X,Y,Z,formation
853689.5702,988145.9441,457.4294874,Sucesion_Volcanica
853734.0203,988145.9441,73.25371904,Sucesion_Volcanica
853883.2456,988145.9441,-183.9217953,Sucesion_Volcanica
854086.446,988145.9441,-349.0221255,Sucesion_Volcanica
854216.6213,988145.9441,-596.6726208,Sucesion_Volcanica
854346.8027,988145.9441,-1009.442876,Sucesion_Volcanica
855131.0225,988145.9441,-1187.234054,Sucesion_Volcanica
855286.5984,988145.9441,-987.1984019,Sucesion_Volcanica
855438.9987,988145.9441,-799.8730272,Sucesion_Volcanica
855499.3239,988145.9441,-625.247678,Sucesion_Volcanica
855566.4948,988145.9441,-574.4475764,Sucesion_Volcanica
854890.7218,987541.5888,-781.6757871,Sucesion_Volcanica
854890.7218,987747.058,-1024.204156,Sucesion_Volcanica
854890.7218,987868.3798,-1226.337564,Sucesion_Volcanica
854890.7218,988364.1836,-1425.947385,Sucesion_Volcanica
854890.7218,988398.7462,-1281.725931,Sucesion_Volcanica
854890.7218,988418.123,-1127.681314,Sucesion_Volcanica
854890.7218,988430.9992,-989.4316644,Sucesion_Volcanica
854890.7218,988446.0916,-800.0633894,Sucesion_Volcanica
854890.7218,988459.4923,-620.0713307,Sucesion_Volcanica
854890.7218,988483.0348,-407.8381138,Sucesion_Volcanica
854890.7218,988511.741,-62.3233433,Sucesion_Volcanica
854890.7218,988543.0555,248.7002859,Sucesion_Volcanica
854890.7218,988565.6996,444.3584804,Sucesion_Volcanica
854890.7218,988578.7788,638.3674526,Sucesion_Volcanica
854890.7218,988600.1151,854.8956482,Sucesion_Volcanica
854890.7218,988613.4712,990.0540371,Sucesion_Volcanica
853614.2891,988145.9441,863.8303002,Sucesion_Piroclastica
853689.5702,988145.9441,457.4294874,Sucesion_Piroclastica
853724.4953,988145.9441,409.8043921,Sucesion_Piroclastica
853772.1204,988145.9441,212.9539984,Sucesion_Piroclastica
853883.2456,988145.9441,-28.34648416,Sucesion_Piroclastica
853981.6708,988145.9441,-91.84661116,Sucesion_Piroclastica
854165.8212,988145.9441,-260.1219477,Sucesion_Piroclastica
854232.4963,988145.9441,-374.4221763,Sucesion_Piroclastica
854295.9965,988145.9441,-523.6474748,Sucesion_Piroclastica
854346.3827,988145.9441,-687.0475422,Sucesion_Piroclastica
855146.229,988145.9441,-662.9656032,Sucesion_Piroclastica
855191.3482,988145.9441,-583.9725954,Sucesion_Piroclastica
855296.1235,988145.9441,-574.4475764,Sucesion_Piroclastica
855502.4989,988145.9441,-517.2974621,Sucesion_Piroclastica
855566.4948,988145.9441,-304.5720366,Sucesion_Piroclastica
854890.7218,987541.5888,-558.0951085,Sucesion_Piroclastica
854890.7218,987579.6293,-623.3251401,Sucesion_Piroclastica
854890.7218,987621.1574,-658.2950007,Sucesion_Piroclastica
854890.7218,987727.7023,-812.5870598,Sucesion_Piroclastica
854890.7218,987810.7401,-926.3537927,Sucesion_Piroclastica
854890.7218,987868.3955,-1031.101486,Sucesion_Piroclastica
854890.7218,988352.7141,-1157.858493,Sucesion_Piroclastica
854890.7218,988389.3898,-1044.020731,Sucesion_Piroclastica
854890.7218,988423.8372,-779.9239292,Sucesion_Piroclastica
854890.7218,988447.6385,-528.4607362,Sucesion_Piroclastica
854890.7218,988467.991,-276.7855625,Sucesion_Piroclastica
854890.7218,988486.1566,-39.17911722,Sucesion_Piroclastica
854890.7218,988519.5814,219.4994716,Sucesion_Piroclastica
854890.7218,988541.8756,435.183659,Sucesion_Piroclastica
854890.7218,988566.0259,644.172669,Sucesion_Piroclastica
854890.7218,988584.0629,803.6800858,Sucesion_Piroclastica
854890.7218,988590.7906,874.9152431,Sucesion_Piroclastica
854890.7218,988592.6228,936.6379125,Sucesion_Piroclastica
853614.2891,988145.9441,994.0055605,Flujo_Piroclastico
853724.4953,988145.9441,497.1170668,Flujo_Piroclastico
853934.0457,988145.9441,103.4162794,Flujo_Piroclastico
854140.4211,988145.9441,97.06626666,Flujo_Piroclastico
854257.8964,988145.9441,-83.90909529,Flujo_Piroclastico
854342.5585,988145.9441,-345.1864021,Flujo_Piroclastico
855140.5481,988145.9441,-309.3345461,Flujo_Piroclastico
855258.0234,988145.9441,-309.3345461,Flujo_Piroclastico
855378.6736,988145.9441,-271.2344699,Flujo_Piroclastico
855470.7488,988145.9441,-210.9093493,Flujo_Piroclastico
855531.0739,988145.9441,-93.43411434,Flujo_Piroclastico
855566.4948,988145.9441,109.7662921,Flujo_Piroclastico
854890.7218,987541.5888,-169.2475732,Flujo_Piroclastico
854890.7218,987561.8706,-186.5349267,Flujo_Piroclastico
854890.7218,987600.6238,-306.6703637,Flujo_Piroclastico
854890.7218,987663.921,-416.4715722,Flujo_Piroclastico
854890.7218,987778.8892,-552.1081689,Flujo_Piroclastico
854890.7218,987875.7726,-579.2355493,Flujo_Piroclastico
854890.7218,988351.818,-727.5449498,Flujo_Piroclastico
854890.7218,988372.118,-649.6112006,Flujo_Piroclastico
854890.7218,988385.9452,-554.3571568,Flujo_Piroclastico
854890.7218,988422.115,-547.4677525,Flujo_Piroclastico
854890.7218,988444.5059,-447.5701695,Flujo_Piroclastico
854890.7218,988449.6728,-342.5057163,Flujo_Piroclastico
854890.7218,988463.4518,-211.6055699,Flujo_Piroclastico
854890.7218,988471.8559,-68.39290571,Flujo_Piroclastico
854890.7218,988483.1187,115.3141042,Flujo_Piroclastico
854890.7218,988491.5222,237.0079226,Flujo_Piroclastico
854890.7218,988502.9691,357.7704955,Flujo_Piroclastico
854890.7218,988522.0158,500.9900562,Flujo_Piroclastico
854890.7218,988548.6127,671.0860352,Flujo_Piroclastico
854890.7218,988568.5164,809.7602749,Flujo_Piroclastico
854890.7218,988613.4712,1035.390829,Flujo_Piroclastico
854336.2132,988145.9441,236.7665618,Edificio_Volcanico
854391.7758,988145.9441,287.396809,Edificio_Volcanico
854447.3384,988145.9441,291.7047142,Edificio_Volcanico
854502.901,988145.9441,307.7546597,Edificio_Volcanico
854558.4636,988145.9441,309.4287525,Edificio_Volcanico
854614.0263,988145.9441,269.2307794,Edificio_Volcanico
854669.5889,988145.9441,290.3540585,Edificio_Volcanico
854725.1515,988145.9441,344.3704449,Edificio_Volcanico
854780.8426,988145.9441,269.1909871,Edificio_Volcanico
854836.2767,988145.9441,140.5740725,Edificio_Volcanico
854947.4019,988145.9441,39.15146155,Edificio_Volcanico
855002.9645,988145.9441,58.34612938,Edificio_Volcanico
855058.5271,988145.9441,98.14093692,Edificio_Volcanico
855114.0898,988145.9441,189.1414474,Edificio_Volcanico
855140.5481,988145.9441,-309.3345461,Edificio_Volcanico
855146.8982,988145.9441,-704.6228367,Edificio_Volcanico
855131.0225,988145.9441,-1187.234054,Edificio_Volcanico
855059.0448,988145.9441,-2381.811914,Edificio_Volcanico
854987.2853,988145.9441,-3572.767735,Edificio_Volcanico
854950.0478,988145.9441,-4190.779809,Edificio_Volcanico
854845.5905,988145.9441,-4737.359219,Edificio_Volcanico
854733.8725,988145.9441,-4954.701534,Edificio_Volcanico
854641.6513,988145.9441,-4964.113238,Edificio_Volcanico
854548.5072,988145.9441,-4872.654935,Edificio_Volcanico
854439.8845,988145.9441,-4882.064663,Edificio_Volcanico
854379.3733,988145.9441,-5028.688091,Edificio_Volcanico
854296.3014,988145.9441,-4985.266784,Edificio_Volcanico
854269.7833,988145.9441,-4703.337794,Edificio_Volcanico
854252.0003,988145.9441,-4133.690659,Edificio_Volcanico
854305.5215,988145.9441,-2746.15192,Edificio_Volcanico
854324.5231,988145.9441,-2134.235568,Edificio_Volcanico
854334.6676,988145.9441,-1621.934118,Edificio_Volcanico
854346.7966,988145.9441,-1009.423446,Edificio_Volcanico
854346.7966,988145.9441,-723.6728748,Edificio_Volcanico
854343.6216,988145.9441,-442.6848128,Edificio_Volcanico
854890.7218,987901.7366,-15.73075297,Edificio_Volcanico
854890.7218,987941.319,63.70075183,Edificio_Volcanico
854890.7218,987982.4176,71.27303174,Edificio_Volcanico
854890.7218,988041.5882,54.09384306,Edificio_Volcanico
854890.7218,988226.6561,59.25664775,Edificio_Volcanico
854890.7218,988331.7764,27.86565568,Edificio_Volcanico
854890.7218,988362.0197,34.41954766,Edificio_Volcanico
854890.7218,988359.4511,-91.02647132,Edificio_Volcanico
854890.7218,988360.1096,-366.6187535,Edificio_Volcanico
854890.7218,988356.6649,-532.70556,Edificio_Volcanico
854890.7218,988351.4978,-712.8153477,Edificio_Volcanico
854890.7218,988352.6461,-1207.071939,Edificio_Volcanico
854890.7218,988348.367,-1468.710733,Edificio_Volcanico
854890.7218,988306.1481,-2197.082532,Edificio_Volcanico
854890.7218,988252.9293,-2851.532567,Edificio_Volcanico
854890.7218,988196.013,-3363.60795,Edificio_Volcanico
854890.7218,988164.4217,-4016.973197,Edificio_Volcanico
854890.7218,988114.2629,-4793.702397,Edificio_Volcanico
854890.7218,988027.7701,-5015.478944,Edificio_Volcanico
854890.7218,987986.3989,-5017.348216,Edificio_Volcanico
854890.7218,987936.858,-4918.266429,Edificio_Volcanico
854890.7218,987847.9628,-4707.855785,Edificio_Volcanico
854890.7218,987790.741,-4404.068902,Edificio_Volcanico
854890.7218,987754.718,-4018.018975,Edificio_Volcanico
854890.7218,987740.043,-3301.67036,Edificio_Volcanico
854890.7218,987771.6817,-2665.29738,Edificio_Volcanico
854890.7218,987797.4792,-2194.749405,Edificio_Volcanico
854890.7218,987816.326,-1850.983744,Edificio_Volcanico
854890.7218,987868.3798,-1226.337564,Edificio_Volcanico
854890.7218,987868.3955,-1031.101486,Edificio_Volcanico
854890.7218,987875.7726,-579.2355493,Edificio_Volcanico
853614.2891,988145.9441,1168.101733,Complejo_Dacitico
853669.4619,988145.9441,972.3097362,Complejo_Dacitico
853771.5099,988145.9441,583.5551183,Complejo_Dacitico
853912.879,988145.9441,432.5586055,Complejo_Dacitico
853976.3792,988145.9441,411.3918953,Complejo_Dacitico
854161.0723,988145.9441,446.9054226,Complejo_Dacitico
854284.9306,988145.9441,414.2833823,Complejo_Dacitico
854336.2132,988145.9441,236.7665618,Complejo_Dacitico
854391.7758,988145.9441,287.396809,Complejo_Dacitico
854447.3384,988145.9441,291.7047142,Complejo_Dacitico
854502.901,988145.9441,307.7546597,Complejo_Dacitico
854558.4636,988145.9441,309.4287525,Complejo_Dacitico
854614.0263,988145.9441,269.2307794,Complejo_Dacitico
854669.5889,988145.9441,290.3540585,Complejo_Dacitico
854725.1515,988145.9441,344.3704449,Complejo_Dacitico
854780.8426,988145.9441,269.1909871,Complejo_Dacitico
854836.2767,988145.9441,140.5740725,Complejo_Dacitico
854947.4019,988145.9441,39.15146155,Complejo_Dacitico
855002.9645,988145.9441,58.34612938,Complejo_Dacitico
855058.5271,988145.9441,98.14093692,Complejo_Dacitico
855114.0898,988145.9441,189.1414474,Complejo_Dacitico
855196.1414,988145.9441,296.1652961,Complejo_Dacitico
855285.5087,988145.9441,289.8963898,Complejo_Dacitico
855362.7986,988145.9441,199.7248056,Complejo_Dacitico
855489.7988,988145.9441,263.2249323,Complejo_Dacitico
855566.4948,988145.9441,538.3921401,Complejo_Dacitico
854890.7218,987541.5888,261.8898525,Complejo_Dacitico
854890.7218,987602.3419,223.7850551,Complejo_Dacitico
854890.7218,987640.4467,131.244833,Complejo_Dacitico
854890.7218,987673.1078,27.81746481,Complejo_Dacitico
854890.7218,987716.6562,-15.73075297,Complejo_Dacitico
854890.7218,987748.4644,8.167636497,Complejo_Dacitico
854890.7218,987771.0916,-34.35222339,Complejo_Dacitico
854890.7218,987832.3158,15.89850628,Complejo_Dacitico
854890.7218,987901.7366,-15.73075297,Complejo_Dacitico
854890.7218,987941.319,63.70075183,Complejo_Dacitico
854890.7218,987982.4176,71.27303174,Complejo_Dacitico
854890.7218,988041.5882,54.09384306,Complejo_Dacitico
854890.7218,988226.6561,59.25664775,Complejo_Dacitico
854890.7218,988331.7764,27.86565568,Complejo_Dacitico
854890.7218,988362.0197,34.41954766,Complejo_Dacitico
854890.7218,988402.5424,60.47884176,Complejo_Dacitico
854890.7218,988424.5925,178.7564564,Complejo_Dacitico
854890.7218,988451.5344,392.1118683,Complejo_Dacitico
854890.7218,988465.1997,541.7384035,Complejo_Dacitico
854890.7218,988495.0826,702.8166714,Complejo_Dacitico
854890.7218,988495.0826,789.913229,Complejo_Dacitico
854890.7218,988522.3004,893.3406582,Complejo_Dacitico
854890.7218,988544.0746,1013.098471,Complejo_Dacitico
854890.7218,988582.2822,1129.983206,Complejo_Dacitico
854890.7218,988613.4712,1225.396627,Complejo_Dacitico
